Citation,year.published,DOI,Reviewed.by,Date.read,Type.of.proportion.data,Field.Discipline,Tidy.Discipline,analysis.used,method,notes
"Senior, R.A., Hill, J.K., Benedick, S. and Edwards, D.P. 2017. Tropical forests are thermally buffered despite intensive selective logging. Glob. Change Biol. 24: 1267-1278 DOI: 10.1111/gcb.13914",2019,10.1111/gcb.13914,Bella ,21-Apr-21,inherently proportional,"Forest ecology, climate change",Ecosystem,Empirical logit transformation + linear mixed effects models ,logit transformation,
"Kimbell, H., Chapman, B.B., Dobbinson, K.E., and Morrell, L.J. 2019. Foraging guppies can compensate for low-light conditions, but not via a sensory switch. Behavioral Ecology and Sociobiology. 73:32 DOI: 10.1007/s00265-019-2640-9",2019,10.1007/s00265-019-2640-9,Emilie,14-Jul-21,inherently proportional,"Foraging ecology, fish ecology",Organismal,arcsine square root transformation,angular transformation,
"Carmickle, R.N., and J.D. Horner. 2019. Impact of the specialist herbivore Exyra semicrocea on the carnivorous plant Sarracenia alata: a field experiment testing effects of tissue loss and diminished prey capture on plant growth. Plant Ecol. 220: 553-561. DOI: 10.1007/s11258-019-00935-y",2019,10.1007/s11258-019-00935-y,Bella ,29-Apr-21,inherently proportional,"Plant ecology, animal ecology",Community,arcsine square root transformation,angular transformation,
"Tredennick, A.T., Hooten, M.B., and Adler, P.B. 2017. Do we need demographic data to forecast plant population dynamics? Methods in Ecology and Evolution 8: 541-551. DOI: 10.1111/2041-210X.12686",2017,10.1111/2041-210X.12686,Bella ,29-Apr-21,inherently proportional,"Population modelling, plant ecology",Population,Bayesian modelling,Bayesian modelling,"attempted beta regression first, then proceeded to a truncated log-normal liklihood"
"Yuen, C.H., Pillay, N., Heinrichs, M., Schoepf, I., and Schradin, C. 2015. Personality does not constrain social and behavioural flexibility in African striped mice. Behav. Ecol. Sociobiol. 69: 1237-1249 DOI: 10.1007/s00265-015-1937-6",2015,10.1007/s00265-015-1937-6,Bella,29-Apr-21,inherently proportional,Behavioural ecology,Organismal,Binomial GLMMs,binomial GLM,
"Brandenburger, C.R., Kim, M., Slavich, E., Meredith, F.L., Salminen, J.-P., Sherwin, W.B., and Moles, A.T. 2020. Evolution of defense and herbivory in introduced plants - Testing enemy release using a known source population, herbivore trials, and time since introduction. Ecology and Evolution. 10:5451-5463. DOI: 10.1002/ece3.6288",2020,10.1002/ece3.6288,Bella,29-Apr-21,inherently proportional,"Foraging ecology, ecosystem ecology",Community,Zero-inflated beta regression,beta distribution,
"Krkosek, M., Connors, B.M., Ford, H., Peacock, S., Mages, P., Ford, J.S., Morton, A., Volpe, J.P., Hilborn, R., Dill, L.M., and Lewis, M.A. 2011. Fish farms, parasites, and predators: implications for salmon population dynamics. Ecological Applications 21(3): 897-914. DOI: 10.1890/09-1861.1",2011,10.1890/09-1861.1,Bella,29-Apr-21,inherently proportional,"Fish cology, aquaculture, population ecology",Population,arcsine square root transformation,angular transformation,
"Boyd, C.S., Davies, K.W. and Collins, G.H. 2017. Impacts of feral horse use on herbaceous riparian vegetation wthin a sagebrush steppe ecosystem. Rangeland Ecology and Management 70: 411-417. DOI: 10.1016/j.rama.2017.02.001",2017,10.1016/j.rama.2017.02.001,Emilie,03-May-21,inherently proportional,Wildlife ecology; rangeland ecology,Community,arcsine square root transformation,angular transformation,
"Williams, C.J., Pierson, F.B., Kormos, P.R., Al-Hamdan, O.Z., Nouwakpo, S.K., and Weltz, M.A. 2019. Vegetation, hydrologic, and erosion responses of sagebrush steppe 9 yer following mechanical tree removal. Rangeland Ecology & Management 72: 47-68 DOI: 10.1016jrama.2018.07.004",2019,10.1016jrama.2018.07.004,Celyn ,06-May-21,inherently proportional,Rangeland Ecology,Ecosystem,arcsine square root transformation,angular transformation,
"Street, G.M., Rodgers, A.R., Avgar, T., Vander Vennen, L.M., and Fryxell, F.M. 2017. Comparing resource selection and demographic models for predicting animal density. The Journal of Wildlife Management 81(1): 16-25. DOI: 10.1002/jwmg.21178",2017,10.1002/jwmg.21178,Celyn ,06-May-21,inherently proportional,Wildlife ecology,Ecosystem,Linear regression,normal distribution,
"Neira, C., Grosholz, E.D., Levin, L.A., and Blake, R. 2006. Mechanisms generating modification of benthos following tidal flat invasion by a Spartina hybrid. Ecological Applications 16(4): 1391-1404.",2006,Note: Celyn couldn't get a free viewing of this one... ,Emilie,27-May-21,inherently proportional,marine ecology,Ecosystem,arcsine square root transformation,angular transformation,
"Pierson, F.B., Williams, C.J., Kormos, P.R., and Al-Hamdan, O.Z. 2014. Short-erm effects of tree removal on infiltration, funoff, and erosion in woodland-encroached sagebrush steppe. Rangeland Ecology 67: 522-538. DOI: 10.2111/REM-D-13-00033.1",2014,10.2111/REM-D-13-00033.1,Celyn ,06-May-21,inherently proportional,Rangeland Ecology,Ecosystem,arcsine square root transformation,angular transformation,
"Lugo, M.A., Reinhart, K.O., Menoyo, E., Crespo, E.M., and Urcelay, C. 2015. Plant functional traits and phylogenetic relatedness explain variation in associations with root fungal endophytes in an extreme arid environment. Mycorrhiza 25: 85-95. DOI: 10.1007/s00572-014-0592-5",2015,10.1007/s00572-014-0592-5,Celyn ,11-May-21,inherently proportional,Plant genetics,Community,Binary transformation; D statistic,other transformation,
